# 词影迷踪词库数据
# 每行「分类|词1 词2 …」，词尾 * 表示难词。去重由脚本处理。

# ============ 传统文化子集（约 7%，作点缀） ============
节气|立春 雨水 惊蛰 春分 清明 谷雨 立夏 小满 芒种 夏至 小暑 大暑 立秋 处暑 白露 秋分 寒露 霜降 立冬 小雪 大雪 冬至 小寒 大寒
传统节日|春节 元宵节 清明节 端午节 七夕 中秋节 重阳节 除夕 腊八节 小年 中元节 寒食节 龙抬头 上巳节 泼水节 火把节 元旦 国庆节 劳动节 儿童节 妇女节 青年节 教师节 护士节 母亲节 父亲节 植树节 建军节 圣诞节 情人节 愚人节 复活节 万圣节 感恩节 平安夜 圣诞老人 元宵 花灯节 灯笼节 跨年夜 年夜饭
神话传说|凤凰 麒麟 饕餮 貔貅 朱雀 玄武 白虎 青龙 白泽 獬豸 鲲鹏 九尾狐 玉兔 金乌 天狗 夜叉 山鬼 河伯 龙王 雷公 电母 风伯 雨师 灶神 门神 财神 月老 城隍 土地 观音 如来 玉帝 王母 二郎神 哪吒 孙悟空 猪八戒 唐僧 沙僧 白龙马 女娲 盘古 夸父 后羿 嫦娥 精卫 刑天 共工 祝融 蚩尤 黄帝 炎帝 伏羲 神农 大禹 钟馗 麻姑 织女 牛郎
传统器物|瓷器 青花瓷 陶器 青铜器 漆器 屏风 折扇 团扇 香炉 烛台 灯笼 剪纸 年画 皮影 木偶 风筝 中国结 砚台 毛笔 宣纸 墨锭 镇纸 笔架 印章 围棋 象棋 麻将 茶具 茶壶 茶杯 紫砂壶 竹简 木雕 石雕 玉雕 刺绣 织锦 荷包 香囊 扇子 面具 糖人 面人 泥人 鼻烟壶 铜镜 古钱 算盘 编钟 玉器 石器 骨器 铜器 铁器 陶俑 木鱼 念珠 拂尘 族谱 族徽 匾额 牌匾 对联
传统乐器|古筝 古琴 二胡 琵琶 笛子 洞箫 唢呐 大鼓 编钟 扬琴 板胡 三弦 月琴 京胡 竹笛 芦笙 木鱼 铜锣 铜钹 排箫 箜篌 梆子
传统服饰|汉服 旗袍 唐装 长衫 马褂 襦裙 肚兜 斗篷 蓑衣 斗笠 乌纱帽 凤冠 霞帔 云肩 腰带 玉佩 发簪 步摇 耳环 手镯 戒指 项链 长命锁 香囊 流苏 官服 盔甲 战袍 戏服 龙袍 蟒袍 朝珠 绣花鞋 布鞋 草鞋 头巾 面纱 披肩 围巾 领带
历史遗迹|长城 故宫 天坛 颐和园 圆明园 布达拉宫 莫高窟 龙门石窟 云冈石窟 兵马俑 明十三陵 岳麓书院 黄鹤楼 岳阳楼 滕王阁 大雁塔 小雁塔 华清池 避暑山庄 苏州园林 拙政园 留园 赵州桥 卢沟桥 都江堰 大运河 灵渠 栈道 烽火台 古城墙 箭楼 角楼 牌坊 石狮子 华表 九龙壁 祈年殿 太和殿 乾清宫 地坛 日坛 月坛 孔庙 关帝庙 妈祖庙 石窟 遗址 陵墓 碑林 古井
传统建筑|四合院 窑洞 土楼 吊脚楼 骑楼 牌楼 石拱桥 木桥 凉亭 长廊 水榭 楼阁 飞檐 斗拱 瓦当 鸱吻 影壁 照壁 石库门 天井 门楼 花窗 藻井 台基 台阶 栏杆 抱厦 钟楼 鼓楼 戏台

# ============ 饮食 ============
食物|米饭 面条 饺子 包子 馒头 花卷 烙饼 油条 豆浆 稀饭 炒饭 蛋炒饭 盖浇饭 煲仔饭 火锅 麻辣烫 烧烤 烤串 关东煮 汤圆 粽子 月饼 年糕 春卷 烧麦 馄饨 锅贴 蒸饺 煎饺 拉面 刀削面 炸酱面 担担面 热干面 凉皮 米线 米粉 河粉 肠粉 蛋挞 蛋糕 面包 吐司 汉堡 披萨 三明治 薯条 炸鸡 烤鸭 烧鹅 卤肉 红烧肉 糖醋里脊 鱼香肉丝 宫保鸡丁 麻婆豆腐 回锅肉 白切鸡 酱牛肉 腊肉 香肠 火腿 牛排 猪排 鸡腿 鸡翅 鸭脖 卤蛋 茶叶蛋 皮蛋 咸鸭蛋 荷包蛋 炒鸡蛋 蒸蛋 豆腐 豆干 腐竹 粉丝 粉条 土豆丝 炒青菜 凉拌黄瓜 酸辣汤 紫菜汤 西红柿蛋汤 鸡汤 鱼汤 骨头汤 沙拉 寿司 生鱼片 咖喱 泡菜 石锅拌饭 意大利面 通心粉 培根 薯片 爆米花 冰糖葫芦 棉花糖 芝麻糖 花生糖 核桃酥 桃酥 绿豆糕 桂花糕 米糕 发糕 糍粑 青团 艾草粑 千层饼 葱油饼 手抓饼 鸡蛋灌饼 煎饼 肉夹馍 驴肉火烧 生煎 小笼包 汤包 蟹黄包 叉烧包 豆沙包 奶黄包 莲蓉包 杂粮煎饼 玉米烙 锅盔 烧饼 麻花 油条
